Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'feat-no-semantic-embedding-for-chunks', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 1/920, loss: 0.005556, reg_loss: 0.000000, pred_loss: 0.000000, acc: 0.0000, pacc: 13.3333 | ETA: 00:00:00.
Train 2/920, loss: -0.046430, reg_loss: 0.000000, pred_loss: 0.000000, acc: 0.7937, pacc: 17.7778 | ETA: 00:00:00.
Train 3/920, loss: -0.072513, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.1464, pacc: 21.7284 | ETA: 00:00:00.
Train 4/920, loss: -0.112431, reg_loss: 0.000000, pred_loss: 0.000000, acc: 0.8598, pacc: 22.0340 | ETA: 00:00:00.
Train 5/920, loss: -0.127714, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.3330, pacc: 21.4982 | ETA: 00:00:00.
Train 6/920, loss: -0.132732, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.1108, pacc: 21.4239 | ETA: 00:00:00.
Train 7/920, loss: -0.128701, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.1943, pacc: 22.7217 | ETA: 00:15:13.
Train 8/920, loss: -0.126739, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.2533, pacc: 22.7982 | ETA: 00:00:00.
Train 9/920, loss: -0.127553, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.2962, pacc: 23.1794 | ETA: 00:00:00.
Train 10/920, loss: -0.138625, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.3333, pacc: 22.8615 | ETA: 00:00:00.
Train 11/920, loss: -0.137916, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.6991, pacc: 23.7052 | ETA: 00:30:18.
Train 12/920, loss: -0.143389, reg_loss: 0.000000, pred_loss: 0.000000, acc: 1.8400, pacc: 24.2722 | ETA: 00:00:00.
Train 13/920, loss: -0.148046, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0706, pacc: 24.3902 | ETA: 00:00:00.
Train 14/920, loss: -0.148864, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0418, pacc: 23.7195 | ETA: 00:15:06.
Train 15/920, loss: -0.152198, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.5723, pacc: 23.9159 | ETA: 00:00:00.
Train 16/920, loss: -0.153693, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8282, pacc: 23.8795 | ETA: 00:15:04.
Train 17/920, loss: -0.155718, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.1362, pacc: 23.7083 | ETA: 00:00:00.
Train 18/920, loss: -0.158617, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.3263, pacc: 23.7572 | ETA: 00:15:02.
Train 19/920, loss: -0.159923, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.4964, pacc: 24.1462 | ETA: 00:00:00.
Train 20/920, loss: -0.161948, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7526, pacc: 24.4906 | ETA: 00:00:00.
Train 21/920, loss: -0.162749, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1294, pacc: 24.8323 | ETA: 00:00:00.
Train 22/920, loss: -0.164336, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.3083, pacc: 25.3165 | ETA: 00:00:00.
Train 23/920, loss: -0.168148, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.3970, pacc: 25.1130 | ETA: 00:00:00.
Train 24/920, loss: -0.168668, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.4187, pacc: 25.0229 | ETA: 00:00:00.
Train 25/920, loss: -0.168324, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.5753, pacc: 25.4220 | ETA: 00:00:00.
Train 26/920, loss: -0.168157, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.3994, pacc: 25.5715 | ETA: 00:14:54.
Train 27/920, loss: -0.167799, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.6068, pacc: 25.9824 | ETA: 00:14:53.
Train 28/920, loss: -0.167804, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.6208, pacc: 26.1259 | ETA: 00:00:00.
