Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'basic-random-k-3', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 1/920, loss: -0.139188, reg_loss: 0.000000, pred_loss: 0.000000, acc: 6.4516, pacc: 22.5806 | ETA: 00:15:19.
Train 2/920, loss: -0.182046, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.2258, pacc: 21.2903 | ETA: 00:00:00.
Train 3/920, loss: -0.184011, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.7960, pacc: 21.6010 | ETA: 00:00:00.
Train 4/920, loss: -0.196672, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.5970, pacc: 21.8459 | ETA: 00:15:16.
Train 5/920, loss: -0.194914, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.2110, pacc: 24.4767 | ETA: 00:00:00.
Train 6/920, loss: -0.192346, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0939, pacc: 25.3680 | ETA: 00:00:00.
Train 7/920, loss: -0.184407, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.2355, pacc: 26.1024 | ETA: 00:15:13.
Train 8/920, loss: -0.184335, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1093, pacc: 25.0573 | ETA: 00:00:00.
Train 9/920, loss: -0.182507, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8379, pacc: 25.2361 | ETA: 00:15:11.
Train 10/920, loss: -0.182719, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6236, pacc: 24.9159 | ETA: 00:15:10.
Train 11/920, loss: -0.182006, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6023, pacc: 24.6539 | ETA: 00:15:09.
Train 12/920, loss: -0.184324, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.5997, pacc: 24.6827 | ETA: 00:15:08.
Train 13/920, loss: -0.183279, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.3228, pacc: 24.5495 | ETA: 00:15:07.
Train 14/920, loss: -0.184869, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.0855, pacc: 24.7330 | ETA: 00:15:06.
Train 15/920, loss: -0.181167, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.8798, pacc: 25.3830 | ETA: 00:00:00.
Train 16/920, loss: -0.181629, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.9117, pacc: 25.2796 | ETA: 00:00:00.
Train 17/920, loss: -0.179664, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.7404, pacc: 25.3612 | ETA: 00:00:00.
Train 18/920, loss: -0.177779, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.6807, pacc: 25.4337 | ETA: 00:15:02.
Train 19/920, loss: -0.178326, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.5397, pacc: 25.2647 | ETA: 00:00:00.
Train 20/920, loss: -0.176701, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.4974, pacc: 25.0184 | ETA: 00:15:00.
Train 21/920, loss: -0.176587, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.4579, pacc: 25.0175 | ETA: 00:14:59.
Train 22/920, loss: -0.175880, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.3461, pacc: 24.8491 | ETA: 00:14:58.
Train 23/920, loss: -0.176920, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.2441, pacc: 24.9129 | ETA: 00:00:00.
Train 24/920, loss: -0.178598, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1506, pacc: 24.4896 | ETA: 00:14:56.
Train 25/920, loss: -0.178428, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.1313, pacc: 24.6433 | ETA: 00:14:55.
Train 26/920, loss: -0.179110, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0493, pacc: 24.6260 | ETA: 00:00:00.
Train 27/920, loss: -0.180634, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0948, pacc: 24.9283 | ETA: 00:00:00.
Train 28/920, loss: -0.179784, reg_loss: 0.000000, pred_loss: 0.000000, acc: 2.0786, pacc: 25.1504 | ETA: 00:14:52.
