class,freq,invalid
<unk>,0,0
Two,103,0
men,8049,0
in,2,0
yellow,606,0
life,39,0
jackets,326,0
are,2,0
riding,17,0
an,2091,0
orange,497,0
boat,1054,0
with,0,0
a,23465,0
small,250,0
island,6,0
and,423,0
the,6591,0
shoreline,30,0
background,3,0
.,2,0
A,295,0
young,1851,0
toddler,466,0
plays,0,0
his,4111,0
tows,0,0
on,3,0
wooden,350,0
floor,774,0
Man,2123,0
american,9,0
flag,337,0
apparel,10,0
rides,3,0
bicycle,1261,0
Couple,41,0
kissing,2,0
middle,19,0
of,1402,0
street,3143,0
boy,8402,0
wearing,6,0
Spider,0,0
-,6,0
water,4007,0
wings,58,0
at,0,0
edge,17,0
pool,842,0
man,37519,0
standing,26,0
ladder,244,0
head,1021,0
above,5,0
ceiling,61,0
panels,6,0
puppet,1,0
dangling,1,0
foreground,0,0
red,1756,0
shirt,13078,0
is,10,0
rock,844,0
climbing,11,0
over,5,0
many,155,0
trees,803,0
baseball,280,0
player,1382,0
white,1468,0
uniform,758,0
sliding,0,0
to,7,0
base,100,0
sitting,21,0
wheelchair,84,0
playing,5,0
electric,65,0
guitar,475,0
sidewalk,1356,0
denim,56,0
orders,1,0
barbecue,37,0
from,0,0
vendor,52,0
musicians,93,0
play,11,0
guitars,112,0
Asia,0,0
woman,19566,0
biking,14,0
sunny,13,0
day,19,0
basketball,331,0
shooting,1,0
ball,2725,0
court,82,0
beach,1515,0
virgola,4,0
jumping,5,0
Men,669,0
steps,268,0
walking,18,0
by,1,0
green,643,0
top,316,0
lifting,1,0
metal,181,0
bowl,195,0
off,4,0
stove,79,0
baby,1284,0
enjoying,0,0
snooze,0,0
father,194,0
dog,8213,0
ocean,682,0
The,103,0
brown,192,0
running,4,0
along,0,0
grassy,290,0
pathway,16,0
holding,7,0
mouth,1012,0
glasses,1436,0
grass,1716,0
next,0,0
lady,1746,0
carrying,1,0
food,958,0
crossing,8,0
bridge,328,0
girls,2262,0
dressed,36,0
outfits,237,0
performing,1,0
dance,23,0
black,1628,0
taking,2,0
pictures,87,0
big,87,0
crowd,1216,0
group,306,0
people,12663,0
bunny,4,0
ears,90,0
People,2975,0
up,57,0
banners,22,0
waving,0,0
their,1166,0
arms,388,0
male,864,0
doctor,66,0
interviewing,0,0
aged,0,0
falling,2,0
bull,262,0
as,7,0
animal,169,0
jumps,0,0
into,0,0
air,28,0
blond,143,0
kid,508,0
rope,344,0
playground,94,0
one,2853,0
foot,64,0
colorful,75,0
bowling,31,0
shoes,504,0
after,0,0
throwing,0,0
women,4503,0
blue,2535,0
clothes,612,0
laughing,1,0
having,0,0
fun,2,0
girl,8483,0
dress,1824,0
tossing,0,0
sand,811,0
her,2419,0
hands,1085,0
while,0,0
sandy,66,0
covered,7,0
dune,10,0
behind,9,0
specialized,0,0
skateboard,268,0
being,1,0
propelled,0,0
unseen,0,0
kite,49,0
field,1107,0
all,406,0
meadow,25,0
hanging,10,0
out,18,0
backyard,29,0
deck,89,0
tie,180,0
dyed,1,0
hat,3653,0
has,2,0
strange,13,0
looking,21,0
critter,0,0
hand,1198,0
cooking,14,0
pan,73,0
commercial,1,0
kitchen,216,0
woods,137,0
log,69,0
amidst,0,0
musical,56,0
equipment,144,0
t,3,0
lying,0,0
down,16,0
sheet,35,0
This,9,0
selling,0,0
fruit,256,0
large,468,0
person,3758,0
shorts,1876,0
table,2301,0
skier,229,0
slopes,10,0
crisp,0,0
cool,4,0
through,0,0
long,131,0
toy,655,0
its,29,0
Four,10,0
hats,760,0
near,0,0
wavy,1,0
trimmed,0,0
bush,33,0
excitedly,0,0
fanned,0,0
cards,48,0
vegetable,41,0
stall,6,0
hooking,0,0
some,864,0
wires,37,0
test,0,0
