class,pred,gt
__background__,211251,58014
goal,1,44
bathroom,3,24
macaroni,2,0
umpire,2,36
calculator,0,1
catcher,11,80
toilet,11,40
batter,9,52
stop sign/stopsign,0,3
cone,100,64
microwave/microwave oven,4,12
dugout,14,8
kettle,0,1
kitchen,28,256
refrigerator/fridge,50,92
bathtub,8,22
blinds,48,16
court,67,320
urinal,2,0
knee pads,3,3
bed,99,592
giraffe,1,8
helmet,1223,1279
tennis court,3,19
motorcycle,472,1323
laptop,190,433
tea pot,1,1
horse,673,1483
television/tv,102,177
shorts,2096,2123
manhole,6,1
dishwasher,8,0
jeans,2640,1806
sail,8,43
monitor,66,131
man,18539,71120
shirt,16634,19129
car,871,1587
cat,80,240
garage door,4,12
bus,112,603
radiator,1,0
tights,11,19
sailboat/sail boat,6,14
racket/racquet,61,288
plate,361,481
beach,310,1638
trolley,2,10
ocean,96,148
headboard/head board,4,0
tea kettle,0,4
wetsuit,34,154
tennis racket/tennis racquet,0,20
sink,28,86
train,109,426
keyboard,112,143
sky,1470,1282
train station,3,16
bats,1,0
lighter,1,0
gazebo,1,2
hair dryer,1,10
elephant,52,351
toilet seat,5,1
zebra,1,12
skateboard/skate board,419,892
floor lamp,2,0
french fries,1,0
woman,12866,34421
player,542,1629
tower,40,100
bicycle,203,479
magazines,7,0
christmas tree,0,34
umbrella,665,987
cow,226,561
pants,3056,2103
bike,1433,2950
field,525,1779
living room,0,4
bedroom,0,4
castle,1,5
table,1353,3759
swan,7,12
blender,6,17
orange,5,11
teddy bear,29,61
net,44,159
meter,1,6
runway,2,1
screen,97,258
dog,2731,9427
clock,60,55
hair,11659,3600
skirt,608,483
frisbee,206,710
parasail,0,1
desk,26,107
pizza,94,136
mouse,33,19
sign,1976,1838
airplane,5,8
jersey,267,181
hot dog/hotdog,9,29
surfboard/surf board,193,823
couch,91,625
glass,334,444
snowboard,52,196
girl,3285,7292
plane,35,233
elephants,0,13
oven,10,64
dirt bike,11,26
bear,58,484
washer,2,3
date,9,0
bow tie,8,18
cows,11,41
fire extinguisher,2,1
wallet,9,5
truck,383,1100
boat,507,1771
tablet,4,18
ceiling,112,111
chandelier,5,6
sheep,122,213
glasses,1493,1280
kite,64,392
salad,8,5
pillow,212,92
fire hydrant/hydrant,44,58
mug,36,34
tarmac,2,1
computer,41,82
swimsuit,37,29
tomato,7,7
tire,747,67
cauliflower,3,1
fireplace,9,16
snow,776,1969
building,2086,4328
sandwich,17,22
bird,223,656
jacket,4118,5202
chair,911,1049
water,2860,7118
cats,1,0
soccer ball,56,143
horses,51,375
barn,4,8
engine,5,10
cake,59,266
head,7309,1856
skier,16,172
bowl,289,450
