class,pred,gt
__background__,98675,25355
goal,4,40
bathroom,11,33
macaroni,2,0
umpire,7,43
toothpick,1,0
calculator,0,1
catcher,26,81
toilet,15,35
batter,15,73
stop sign/stopsign,0,3
cone,180,65
microwave/microwave oven,20,9
dugout,14,16
kettle,5,1
kitchen,56,305
refrigerator/fridge,89,84
ostrich,1,0
bathtub,18,23
blinds,96,29
court,100,353
urinal,2,0
knee pads,3,3
bed,137,714
giraffe,3,3
helmet,1800,1377
giraffes,1,6
tennis court,13,11
motorcycle,707,1431
laptop,254,450
tea pot,1,1
horse,842,1530
television/tv,136,183
shorts,3340,2331
manhole,11,1
dishwasher,20,5
jeans,3872,2094
sail,15,42
monitor,82,115
man,23332,71551
shirt,23715,21589
car,1490,1683
cat,86,230
garage door,7,20
bus,172,656
radiator,4,0
tights,13,18
sailboat/sail boat,6,15
racket/racquet,141,336
plate,532,519
beach,565,1667
trolley,1,14
ocean,166,205
headboard/head board,8,5
tea kettle,1,4
wetsuit,62,177
tennis racket/tennis racquet,3,27
sink,55,84
train,185,493
keyboard,168,141
sky,2446,1659
train station,10,19
bats,1,0
lighter,1,0
pepper shaker,4,0
gazebo,1,7
hair dryer,2,12
elephant,82,453
toilet seat,5,1
zebra,4,16
skateboard/skate board,694,986
floor lamp,3,0
french fries,3,0
woman,15051,34558
player,653,1681
tower,103,94
bicycle,300,588
magazines,15,0
christmas tree,1,31
umbrella,973,1087
cow,331,598
pants,4685,2515
bike,1831,3222
field,769,2071
bedroom,5,6
castle,3,6
table,2233,4397
swan,9,12
blender,14,25
orange,9,12
teddy bear,39,63
net,107,216
meter,13,8
runway,3,3
screen,136,253
dog,2983,9377
clock,120,67
hair,17595,4092
skirt,963,550
frisbee,316,730
parasail,0,1
desk,63,131
pizza,110,127
mouse,43,23
sign,3484,1995
shower curtain,2,0
airplane,5,8
jersey,407,258
reigns,0,1
hot dog/hotdog,19,28
surfboard/surf board,370,945
couch,131,720
glass,491,500
snowboard,91,213
girl,3678,7654
plane,79,245
elephants,1,31
oven,39,83
dirt bike,12,34
bear,132,482
washer,2,6
date,10,0
bow tie,13,19
cows,11,52
fire extinguisher,4,1
wallet,10,5
tail feathers,2,0
truck,607,1225
boat,868,1941
tablet,4,20
ceiling,260,184
chandelier,8,8
sheep,127,219
glasses,2157,1323
ram,0,3
kite,124,406
salad,6,0
pillow,343,92
fire hydrant/hydrant,108,77
mug,44,42
tarmac,2,6
computer,60,109
swimsuit,50,27
tomato,17,9
tire,1209,104
cauliflower,2,1
fireplace,12,23
snow,1145,2066
building,3680,5154
sandwich,25,29
bird,382,660
jacket,5915,6271
chair,1645,1354
water,4361,7325
cats,1,0
soccer ball,69,143
horses,86,443
barn,10,14
engine,4,10
cake,116,281
head,12567,2529
skier,25,183
town,0,3
bowl,476,470
stove,72,102
tongue,91,124
coffee table,4,3
floor,1451,2756
uniform,571,599
ottoman,5,1
broccoli,9,2
mound,19,37
pitcher,19,43
food,307,397
traffic light,49,9
parking meter,26,10
bananas,77,78
mountain,509,499
cage,20,105
